region_0,region_1,region_2,region_3,M49 code,ISO-alpha3 code
Africa,Northern Africa,Northern Africa,Algeria,12,DZA
Africa,Northern Africa,Northern Africa,Egypt,818,EGY
Africa,Northern Africa,Northern Africa,Libya,434,LBY
Africa,Northern Africa,Northern Africa,Morocco,504,MAR
Africa,Northern Africa,Northern Africa,Sudan,729,SDN
Africa,Northern Africa,Northern Africa,Tunisia,788,TUN
Africa,Northern Africa,Northern Africa,Western Sahara,732,ESH
Africa,Sub-Saharan Africa,Eastern Africa,British Indian Ocean Territory,86,IOT
Africa,Sub-Saharan Africa,Eastern Africa,Burundi,108,BDI
Africa,Sub-Saharan Africa,Eastern Africa,Comoros,174,COM
Africa,Sub-Saharan Africa,Eastern Africa,Djibouti,262,DJI
Africa,Sub-Saharan Africa,Eastern Africa,Eritrea,232,ERI
Africa,Sub-Saharan Africa,Eastern Africa,Ethiopia,231,ETH
Africa,Sub-Saharan Africa,Eastern Africa,French Southern Territories,260,ATF
Africa,Sub-Saharan Africa,Eastern Africa,Kenya,404,KEN
Africa,Sub-Saharan Africa,Eastern Africa,Madagascar,450,MDG
Africa,Sub-Saharan Africa,Eastern Africa,Malawi,454,MWI
Africa,Sub-Saharan Africa,Eastern Africa,Mauritius,480,MUS
Africa,Sub-Saharan Africa,Eastern Africa,Mayotte,175,MYT
Africa,Sub-Saharan Africa,Eastern Africa,Mozambique,508,MOZ
Africa,Sub-Saharan Africa,Eastern Africa,Réunion,638,REU
Africa,Sub-Saharan Africa,Eastern Africa,Rwanda,646,RWA
Africa,Sub-Saharan Africa,Eastern Africa,Seychelles,690,SYC
Africa,Sub-Saharan Africa,Eastern Africa,Somalia,706,SOM
Africa,Sub-Saharan Africa,Eastern Africa,South Sudan,728,SSD
Africa,Sub-Saharan Africa,Eastern Africa,Uganda,800,UGA
Africa,Sub-Saharan Africa,Eastern Africa,United Republic of Tanzania,834,TZA
Africa,Sub-Saharan Africa,Eastern Africa,Zambia,894,ZMB
Africa,Sub-Saharan Africa,Eastern Africa,Zimbabwe,716,ZWE
Africa,Sub-Saharan Africa,Middle Africa,Angola,24,AGO
Africa,Sub-Saharan Africa,Middle Africa,Cameroon,120,CMR
Africa,Sub-Saharan Africa,Middle Africa,Central African Republic,140,CAF
Africa,Sub-Saharan Africa,Middle Africa,Chad,148,TCD
Africa,Sub-Saharan Africa,Middle Africa,Congo,178,COG
Africa,Sub-Saharan Africa,Middle Africa,Democratic Republic of the Congo,180,COD
Africa,Sub-Saharan Africa,Middle Africa,Equatorial Guinea,226,GNQ
Africa,Sub-Saharan Africa,Middle Africa,Gabon,266,GAB
Africa,Sub-Saharan Africa,Middle Africa,Sao Tome and Principe,678,STP
Africa,Sub-Saharan Africa,Southern Africa,Botswana,72,BWA
Africa,Sub-Saharan Africa,Southern Africa,Eswatini,748,SWZ
Africa,Sub-Saharan Africa,Southern Africa,Lesotho,426,LSO
Africa,Sub-Saharan Africa,Southern Africa,Namibia,516,NAM
Africa,Sub-Saharan Africa,Southern Africa,South Africa,710,ZAF
Africa,Sub-Saharan Africa,Western Africa,Benin,204,BEN
Africa,Sub-Saharan Africa,Western Africa,Burkina Faso,854,BFA
Africa,Sub-Saharan Africa,Western Africa,Cabo Verde,132,CPV
Africa,Sub-Saharan Africa,Western Africa,Côte d'Ivoire,384,CIV
Africa,Sub-Saharan Africa,Western Africa,Gambia,270,GMB
Africa,Sub-Saharan Africa,Western Africa,Ghana,288,GHA
Africa,Sub-Saharan Africa,Western Africa,Guinea,324,GIN
Africa,Sub-Saharan Africa,Western Africa,Guinea-Bissau,624,GNB
Africa,Sub-Saharan Africa,Western Africa,Liberia,430,LBR
Africa,Sub-Saharan Africa,Western Africa,Mali,466,MLI
Africa,Sub-Saharan Africa,Western Africa,Mauritania,478,MRT
Africa,Sub-Saharan Africa,Western Africa,Niger,562,NER
Africa,Sub-Saharan Africa,Western Africa,Nigeria,566,NGA
Africa,Sub-Saharan Africa,Western Africa,Saint Helena,654,SHN
Africa,Sub-Saharan Africa,Western Africa,Senegal,686,SEN
Africa,Sub-Saharan Africa,Western Africa,Sierra Leone,694,SLE
Africa,Sub-Saharan Africa,Western Africa,Togo,768,TGO
Americas,Latin America and the Caribbean,Caribbean,Anguilla,660,AIA
Americas,Latin America and the Caribbean,Caribbean,Antigua and Barbuda,28,ATG
Americas,Latin America and the Caribbean,Caribbean,Aruba,533,ABW
Americas,Latin America and the Caribbean,Caribbean,Bahamas,44,BHS
Americas,Latin America and the Caribbean,Caribbean,Barbados,52,BRB
Americas,Latin America and the Caribbean,Caribbean,"Bonaire, Sint Eustatius and Saba",535,BES
Americas,Latin America and the Caribbean,Caribbean,British Virgin Islands,92,VGB
Americas,Latin America and the Caribbean,Caribbean,Cayman Islands,136,CYM
Americas,Latin America and the Caribbean,Caribbean,Cuba,192,CUB
Americas,Latin America and the Caribbean,Caribbean,Curaçao,531,CUW
Americas,Latin America and the Caribbean,Caribbean,Dominica,212,DMA
Americas,Latin America and the Caribbean,Caribbean,Dominican Republic,214,DOM
Americas,Latin America and the Caribbean,Caribbean,Grenada,308,GRD
Americas,Latin America and the Caribbean,Caribbean,Guadeloupe,312,GLP
Americas,Latin America and the Caribbean,Caribbean,Haiti,332,HTI
Americas,Latin America and the Caribbean,Caribbean,Jamaica,388,JAM
Americas,Latin America and the Caribbean,Caribbean,Martinique,474,MTQ
Americas,Latin America and the Caribbean,Caribbean,Montserrat,500,MSR
Americas,Latin America and the Caribbean,Caribbean,Puerto Rico,630,PRI
Americas,Latin America and the Caribbean,Caribbean,Saint Barthélemy,652,BLM
Americas,Latin America and the Caribbean,Caribbean,Saint Kitts and Nevis,659,KNA
Americas,Latin America and the Caribbean,Caribbean,Saint Lucia,662,LCA
Americas,Latin America and the Caribbean,Caribbean,Saint Martin (French part),663,MAF
Americas,Latin America and the Caribbean,Caribbean,Saint Vincent and the Grenadines,670,VCT
Americas,Latin America and the Caribbean,Caribbean,Sint Maarten (Dutch part),534,SXM
Americas,Latin America and the Caribbean,Caribbean,Trinidad and Tobago,780,TTO
Americas,Latin America and the Caribbean,Caribbean,Turks and Caicos Islands,796,TCA
Americas,Latin America and the Caribbean,Caribbean,United States Virgin Islands,850,VIR
Americas,Latin America and the Caribbean,Central America,Belize,84,BLZ
Americas,Latin America and the Caribbean,Central America,Costa Rica,188,CRI
Americas,Latin America and the Caribbean,Central America,El Salvador,222,SLV
Americas,Latin America and the Caribbean,Central America,Guatemala,320,GTM
Americas,Latin America and the Caribbean,Central America,Honduras,340,HND
Americas,Latin America and the Caribbean,Central America,Mexico,484,MEX
Americas,Latin America and the Caribbean,Central America,Nicaragua,558,NIC
Americas,Latin America and the Caribbean,Central America,Panama,591,PAN
Americas,Latin America and the Caribbean,South America,Argentina,32,ARG
Americas,Latin America and the Caribbean,South America,Bolivia (Plurinational State of),68,BOL
Americas,Latin America and the Caribbean,South America,Bouvet Island,74,BVT
Americas,Latin America and the Caribbean,South America,Brazil,76,BRA
Americas,Latin America and the Caribbean,South America,Chile,152,CHL
Americas,Latin America and the Caribbean,South America,Colombia,170,COL
Americas,Latin America and the Caribbean,South America,Ecuador,218,ECU
Americas,Latin America and the Caribbean,South America,Falkland Islands (Malvinas),238,FLK
Americas,Latin America and the Caribbean,South America,French Guiana,254,GUF
Americas,Latin America and the Caribbean,South America,Guyana,328,GUY
Americas,Latin America and the Caribbean,South America,Paraguay,600,PRY
Americas,Latin America and the Caribbean,South America,Peru,604,PER
Americas,Latin America and the Caribbean,South America,South Georgia and the South Sandwich Islands,239,SGS
Americas,Latin America and the Caribbean,South America,Suriname,740,SUR
Americas,Latin America and the Caribbean,South America,Uruguay,858,URY
Americas,Latin America and the Caribbean,South America,Venezuela (Bolivarian Republic of),862,VEN
Americas,Northern America,Northern America,Bermuda,60,BMU
Americas,Northern America,Northern America,Canada,124,CAN
Americas,Northern America,Northern America,Greenland,304,GRL
Americas,Northern America,Northern America,Saint Pierre and Miquelon,666,SPM
Americas,Northern America,Northern America,United States of America,840,USA
Americas,Northern America,Northern America,Antarctica,10,ATA
Asia,Asia,Central Asia,Kazakhstan,398,KAZ
Asia,Asia,Central Asia,Kyrgyzstan,417,KGZ
Asia,Asia,Central Asia,Tajikistan,762,TJK
Asia,Asia,Central Asia,Turkmenistan,795,TKM
Asia,Asia,Central Asia,Uzbekistan,860,UZB
Asia,Asia,Eastern Asia,China,156,CHN
Asia,Asia,Eastern Asia,"Hong Kong",344,HKG
Asia,Asia,Eastern Asia,"Macao",446,MAC
Asia,Asia,Eastern Asia,Democratic People's Republic of Korea,408,PRK
Asia,Asia,Eastern Asia,Japan,392,JPN
Asia,Asia,Eastern Asia,Mongolia,496,MNG
Asia,Asia,Eastern Asia,Taiwan,158,TWN
Asia,Asia,Eastern Asia,Republic of Korea,410,KOR
Asia,Asia,South-eastern Asia,Brunei Darussalam,96,BRN
